__author__ = '1240'

82 | 39608320 | 39610367 | 2365 | RU | 28 | Смоленская область
93 | 39653376 | 39655423 | 2365 | RU | 28 | Смоленская область
138 | 39778304 | 39780351 | 2365 | RU | 28 | Смоленская область
251 | 84558128 | 84558143 | 2902 | RU | 29 | Вологодская область
105 | 39718912 | 39720959 | 727 | RU | 30 | Ростовская область
119 | 39741440 | 39742463 | 727 | RU | 30 | Ростовская область
131 | 39761920 | 39763967 | 1235 | RU | 30 | Ростовская область
75 | 39593984 | 39598079 | 2988 | RU | 31 | Ярославская область
60 | 37552128 | 37617663 | 676 | RU | 32 | Республика Хакасия
222 | 84467712 | 84469247 | 693 | RU | 34 | Алтайский край
223 | 84469248 | 84469759 | 807 | RU | 34 | Алтайский край
224 | 84469760 | 84471807 | 693 | RU | 34 | Алтайский край
78 | 39600128 | 39602175 | 1325 | RU | 36 | Калужская область
113 | 39733248 | 39735295 | 1325 | RU | 36 | Калужская область
79 | 39602176 | 39604223 | 2275 | RU | 37 | Саратовская область
83 | 39610368 | 39612415 | 2275 | RU | 37 | Саратовская область
85 | 39614464 | 39616511 | 2275 | RU | 37 | Саратовская область
87 | 39649280 | 39651327 | 2275 | RU | 37 | Саратовская область
92 | 39652864 | 39653375 | 2275 | RU | 37 | Саратовская область
94 | 39655424 | 39657471 | 2275 | RU | 37 | Саратовская область
108 | 39723008 | 39727103 | 2275 | RU | 37 | Саратовская область
117 | 39737344 | 39739391 | 2275 | RU | 37 | Саратовская область
129 | 39760640 | 39760895 | 2275 | RU | 37 | Саратовская область
137 | 39776256 | 39778303 | 2275 | RU | 37 | Саратовская область
215 | 84432896 | 84433919 | 2115 | RU | 39 | Московская область
97 | 39659520 | 39661567 | 1427 | RU | 41 | Краснодарский край
101 | 39698432 | 39714815 | 1427 | RU | 41 | Краснодарский край
214 | 84430848 | 84432895 | 2949 | RU | 42 | Белгородская область
146 | 39818240 | 39819263 | 794 | RU | 43 | Приморский край
205 | 84094976 | 84099071 | 794 | RU | 43 | Приморский край
221 | 84459520 | 84467711 | 2471 | RU | 44 | Хабаровский край
96 | 39658496 | 39659519 | 2265 | RU | 48 | Ставропольский край
116 | 39736832 | 39737343 | 1920 | RU | 48 | Ставропольский край
124 | 39753216 | 39753471 | 1920 | RU | 48 | Ставропольский край
133 | 39767040 | 39768063 | 1920 | RU | 48 | Ставропольский край
198 | 84025344 | 84033535 | 1047 | RU | 51 | Свердловская область
122 | 39749632 | 39751679 | 2190 | RU | 52 | Пермский край
286 | 84558880 | 84558887 | 2190 | RU | 52 | Пермский край
69 | 39583744 | 39585791 | 780 | RU | 53 | Брянская область
81 | 39606272 | 39608319 | 780 | RU | 53 | Брянская область
126 | 39753728 | 39759871 | 2656 | RU | 64 | Тульская область
73 | 39589888 | 39591935 | 908 | RU | 71 | Волгоградская область
72 | 39587840 | 39589887 | 2519 | RU | 72 | Тверская область
84 | 39612416 | 39614463 | 2519 | RU | 72 | Тверская область
61 | 37617664 | 37683199 | 1706 | RU | 74 | Кемеровская область
144 | 39797760 | 39798271 | 1706 | RU | 74 | Кемеровская область
71 | 39586816 | 39587839 | 982 | RU | 75 | Астраханская область
74 | 39591936 | 39593983 | 982 | RU | 75 | Астраханская область
90 | 39652096 | 39652351 | 982 | RU | 75 | Астраханская область
95 | 39657472 | 39658495 | 982 | RU | 75 | Астраханская область
118 | 39739392 | 39741439 | 982 | RU | 75 | Астраханская область
63 | 37715968 | 37748735 | 2012 | RU | 78 | Новосибирская область
211 | 84420608 | 84422655 | 2130 | RU | 79 | Псковская область
62 | 37683200 | 37715967 | 1428 | RU | 80 | Красноярский край
76 | 39598080 | 39599103 | 1277 | RU | 87 | Ивановская область
111 | 39729152 | 39731199 | 1277 | RU | 87 | Ивановская область
132 | 39763968 | 39767039 | 1277 | RU | 87 | Ивановская область
106 | 39720960 | 39721215 | 1587 | RU | 92 | Костромская область
115 | 39736320 | 39736831 | 1587 | RU | 92 | Костромская область
120 | 39742464 | 39743487 | 1587 | RU | 92 | Костромская область
123 | 39751680 | 39753215 | 1587 | RU | 92 | Костромская область
130 | 39760896 | 39761919 | 1587 | RU | 92 | Костромская область
102 | 39714816 | 39717887 | 1643 | RU | 95 | Курская область
114 | 39735296 | 39736319 | 1643 | RU | 95 | Курская область
80 | 39604224 | 39606271 | 1878 | RU | 102 | Орловская область
140 | 39788544 | 39789567 | 1878 | RU | 102 | Орловская область
142 | 39793664 | 39794687 | 1878 | RU | 102 | Орловская область
148 | 39836672 | 39837695 | 1878 | RU | 102 | Орловская область
59 | 37486592 | 37552127 | 2096 | RU | 104 | Омская область
70 | 39585792 | 39586815 | 2096 | RU | 104 | Омская область
77 | 39599104 | 39600127 | 2096 | RU | 104 | Омская область
88 | 39651328 | 39651839 | 2096 | RU | 104 | Омская область
91 | 39652352 | 39652863 | 2096 | RU | 104 | Омская область
103 | 39717888 | 39718399 | 2096 | RU | 104 | Омская область
86 | 39616512 | 39649279 | 2097 | RU | 105 | Москва
89 | 39651840 | 39652095 | 2097 | RU | 105 | Москва
98 | 39661568 | 39663615 | 2097 | RU | 105 | Москва
100 | 39665664 | 39698431 | 2097 | RU | 105 | Москва
104 | 39718400 | 39718911 | 2097 | RU | 105 | Москва
107 | 39721216 | 39723007 | 2097 | RU | 105 | Москва
110 | 39728640 | 39729151 | 2097 | RU | 105 | Москва
112 | 39731200 | 39733247 | 2097 | RU | 105 | Москва
121 | 39743488 | 39749631 | 2097 | RU | 105 | Москва
125 | 39753472 | 39753727 | 2097 | RU | 105 | Москва
128 | 39760384 | 39760639 | 2097 | RU | 105 | Москва
134 | 39768064 | 39770111 | 2097 | RU | 105 | Москва
136 | 39772160 | 39776255 | 2097 | RU | 105 | Москва
139 | 39780352 | 39788543 | 2097 | RU | 105 | Москва
141 | 39789568 | 39793663 | 2097 | RU | 105 | Москва
143 | 39794688 | 39797759 | 2097 | RU | 105 | Москва
145 | 39798272 | 39818239 | 2097 | RU | 105 | Москва
147 | 39819264 | 39836671 | 2097 | RU | 105 | Москва
149 | 39837696 | 39845887 | 2097 | RU | 105 | Москва
209 | 84414464 | 84418559 | 2097 | RU | 105 | Москва
212 | 84422656 | 84427775 | 2097 | RU | 105 | Москва
219 | 84451328 | 84457471 | 2097 | RU | 105 | Москва
320 | 84559088 | 84559095 | 2097 | RU | 105 | Москва
382 | 84559504 | 84559511 | 2097 | RU | 105 | Москва
204 | 84082688 | 84094975 | 2287 | RU | 106 | Санкт-Петербург
206 | 84099072 | 84148223 | 2287 | RU | 106 | Санкт-Петербург
208 | 84410368 | 84414463 | 2287 | RU | 106 | Санкт-Петербург
210 | 84418560 | 84420607 | 2287 | RU | 106 | Санкт-Петербург
213 | 84427776 | 84430847 | 2287 | RU | 106 | Санкт-Петербург
216 | 84433920 | 84434943 | 2287 | RU | 106 | Санкт-Петербург
109 | 39727104 | 39728639 | 2601 | RU | 107 | Томская область
127 | 39759872 | 39760383 | 2601 | RU | 107 | Томская область
99 | 39663616 | 39665663 | 2571 | RU | 108 | Ульяновская область
135 | 39770112 | 39772159 | 2571 | RU | 108 | Ульяновская область
182 | 83963904 | 83965951 | 2695 | RU | 109 | Тюменская область
